time,elapsed_s,gpu_die_c,watt,util_pct,mhz
2026-09-06 18:39:32,5,51,73,41,100,2430
2026-09-06 18:39:37,10,54,74,1,100,2430
2026-09-06 18:39:42,15,55,74,62,100,2430
2026-09-06 18:39:47,20,57,75,16,100,2430
2026-09-06 18:39:53,25,58,75,31,100,2430
2026-09-06 18:39:58,30,60,75,53,100,2430
2026-09-06 18:40:03,35,61,76,34,100,2430
2026-09-06 18:40:08,41,62,76,89,100,2415
2026-09-06 18:40:13,46,63,76,99,100,2415
2026-09-06 18:40:18,51,64,77,04,100,2415
2026-09-06 18:40:23,56,65,77,71,100,2415
2026-09-06 18:40:28,61,66,77,86,100,2415
2026-09-06 18:40:33,66,67,77,97,100,2415
2026-09-06 18:40:38,71,68,78,28,100,2415
2026-09-06 18:40:43,76,69,78,54,100,2415
2026-09-06 18:40:48,81,70,78,72,100,2415
2026-09-06 18:40:53,86,71,78,97,100,2415
2026-09-06 18:40:58,91,71,79,06,100,2415
2026-09-06 18:41:03,96,72,78,87,100,2415
2026-09-06 18:41:09,101,73,78,59,100,2415
2026-09-06 18:41:14,106,73,79,09,100,2415
2026-09-06 18:41:19,112,74,79,79,100,2400
2026-09-06 18:41:24,117,75,79,94,100,2385
2026-09-06 18:41:29,122,75,79,98,100,2385
2026-09-06 18:41:34,127,76,79,75,100,2370
2026-09-06 18:41:39,132,76,79,94,100,2385
